gnome-settings-daemon-devel,pkgconfig(gnome-settings-daemon)
gnome-sharp2,pkgconfig(gnome-sharp-2.0)
gnome-utils-devel,pkgconfig(gdict-1.0)
gnome-vfs-sharp2,pkgconfig(gnome-vfs-sharp-2.0)
gnome-vfs2-devel,pkgconfig(gnome-vfs-2.0)
gnome-vfs2-devel,pkgconfig(gnome-vfs-module-2.0)
gnumeric-devel,pkgconfig(libspreadsheet-1.10)
gnutls-devel,pkgconfig(gnutls)
goffice-devel,pkgconfig(libgoffice-0.8)
google-gadgets-devel,pkgconfig(libggadget-1.0)
google-gadgets-devel,pkgconfig(libggadget-dbus-1.0)
google-gadgets-devel,pkgconfig(libggadget-gtk-1.0)
google-gadgets-devel,pkgconfig(libggadget-js-1.0)
google-gadgets-devel,pkgconfig(libggadget-npapi-1.0)
google-gadgets-devel,pkgconfig(libggadget-xdg-1.0)
gpsd-devel,pkgconfig(libgps)
gpsd-devel,pkgconfig(libgpsd)
graphviz-devel,pkgconfig(libcdt)
graphviz-devel,pkgconfig(libcgraph)
graphviz-devel,pkgconfig(libgraph)
graphviz-devel,pkgconfig(libgvc)
graphviz-devel,pkgconfig(libgvpr)
graphviz-devel,pkgconfig(libpathplan)
graphviz-devel,pkgconfig(libxdot)
grilo-devel,pkgconfig(grilo-0.1)
grilo-devel,pkgconfig(grilo-net-0.1)
gsl-devel,pkgconfig(gsl)
gssdp-devel,pkgconfig(gssdp-1.0)
gst-plugins-bad-free-devel,pkgconfig(gstreamer-plugins-bad-free-0.10)
gst-plugins-base-devel,pkgconfig(gstreamer-app-0.10)
gst-plugins-base-devel,pkgconfig(gstreamer-audio-0.10)
gst-plugins-base-devel,pkgconfig(gstreamer-cdda-0.10)
gst-plugins-base-devel,pkgconfig(gstreamer-fft-0.10)
gst-plugins-base-devel,pkgconfig(gstreamer-floatcast-0.10)
gst-plugins-base-devel,pkgconfig(gstreamer-interfaces-0.10)
gst-plugins-base-devel,pkgconfig(gstreamer-netbuffer-0.10)
gst-plugins-base-devel,pkgconfig(gstreamer-pbutils-0.10)
gst-plugins-base-devel,pkgconfig(gstreamer-plugins-base-0.10)
gst-plugins-base-devel,pkgconfig(gstreamer-riff-0.10)
gst-plugins-base-devel,pkgconfig(gstreamer-rtp-0.10)
gst-plugins-base-devel,pkgconfig(gstreamer-rtsp-0.10)
gst-plugins-base-devel,pkgconfig(gstreamer-sdp-0.10)
gst-plugins-base-devel,pkgconfig(gstreamer-tag-0.10)
gst-plugins-base-devel,pkgconfig(gstreamer-video-0.10)
gst-plugins-camera-devel,pkgconfig(gstreamer-nokia-videosrc-0.10)
gst-v4l2-camsrc-devel,pkgconfig(gstreamer-atomisphal-0.10)
gst-v4l2-camsrc-devel,pkgconfig(gstreamer-mfld-videosrc-0.10)
gst-vabuffer-devel,pkgconfig(gst-vabuffer)
gstreamer-devel,pkgconfig(gstreamer-0.10)
gstreamer-devel,pkgconfig(gstreamer-base-0.10)
gstreamer-devel,pkgconfig(gstreamer-check-0.10)
gstreamer-devel,pkgconfig(gstreamer-controller-0.10)
gstreamer-devel,pkgconfig(gstreamer-dataprotocol-0.10)
gstreamer-devel,pkgconfig(gstreamer-net-0.10)
gstreamer-editing-services-devel,pkgconfig(gst-editing-services-0.10)
gstreamer-python-devel,pkgconfig(gst-python-0.10)
gtk-doc,pkgconfig(gtk-doc)
gtk-sharp2,pkgconfig(gtk-dotnet-2.0)
gtk-sharp2,pkgconfig(gtk-sharp-2.0)
gtk-sharp2-gapi,pkgconfig(gapi-2.0)
gtk2-devel,pkgconfig(gail)
gtk2-devel,pkgconfig(gdk-2.0)
gtk2-devel,pkgconfig(gdk-pixbuf-2.0)
gtk2-devel,pkgconfig(gdk-pixbuf-xlib-2.0)
gtk2-devel,pkgconfig(gdk-x11-2.0)
gtk2-devel,pkgconfig(gtk+-2.0)
gtk2-devel,pkgconfig(gtk+-unix-print-2.0)
gtk2-devel,pkgconfig(gtk+-x11-2.0)
gtk2-engines-devel,pkgconfig(gtk-engines-2)
gtkglext-devel,pkgconfig(gdkglext-1.0)
gtkglext-devel,pkgconfig(gdkglext-x11-1.0)
gtkglext-devel,pkgconfig(gtkglext-1.0)
gtkglext-devel,pkgconfig(gtkglext-x11-1.0)
gtkhtml3-devel,pkgconfig(gtkhtml-editor)
gtkhtml3-devel,pkgconfig(libgtkhtml-3.14)
gtkmathview-devel,pkgconfig(gtkmathview-custom-reader)
gtkmathview-devel,pkgconfig(gtkmathview-libxml2)
gtkmathview-devel,pkgconfig(gtkmathview-libxml2-reader)
gtkmathview-devel,pkgconfig(mathview-backend-gtk)
gtkmathview-devel,pkgconfig(mathview-backend-ps)
gtkmathview-devel,pkgconfig(mathview-backend-svg)
gtkmathview-devel,pkgconfig(mathview-core)
gtkmathview-devel,pkgconfig(mathview-frontend-custom-reader)
gtkmathview-devel,pkgconfig(mathview-frontend-libxml2)
gtkmathview-devel,pkgconfig(mathview-frontend-libxml2-reader)
gtkmm-devel,pkgconfig(atkmm-1.6)
gtkmm-devel,pkgconfig(gdkmm-2.4)
gtkmm-devel,pkgconfig(gtkmm-2.4)
gtksourceview2-devel,pkgconfig(gtksourceview-2.0)
gtkspell-devel,pkgconfig(gtkspell-2.0)
guile-devel,pkgconfig(guile-1.8)
gupnp-av-devel,pkgconfig(gupnp-av-1.0)
gupnp-devel,pkgconfig(gupnp-1.0)
gupnp-dlna-devel,pkgconfig(gupnp-dlna-1.0)
gupnp-igd-devel,pkgconfig(gupnp-igd-1.0)
gupnp-ui-devel,pkgconfig(gupnp-ui-1.0)
gupnp-vala,pkgconfig(gupnp-vala-1.0)
gwenhywfar-devel,pkgconfig(gwenhywfar)
gypsy-devel,pkgconfig(gypsy)
hunspell-devel,pkgconfig(hunspell)
icon-naming-utils,pkgconfig(icon-naming-utils)
ilmbase-devel,pkgconfig(IlmBase)
iptables-devel,pkgconfig(libiptc)
iptables-devel,pkgconfig(xtables)
iso-codes-devel,pkgconfig(iso-codes)
jana-devel,pkgconfig(libjana)
jana-devel,pkgconfig(libjana-ecal)
jana-devel,pkgconfig(libjana-gtk)
json-c-devel,pkgconfig(json)
json-glib-devel,pkgconfig(json-glib-1.0)
kcalcore-devel,pkgconfig(libkcalcoren)
lcms-devel,pkgconfig(lcms)
libCI-devel,pkgconfig(libci)
libICE-devel,pkgconfig(ice)
libIDL-devel,pkgconfig(libIDL-2.0)
libSM-devel,pkgconfig(sm)
libX11-devel,pkgconfig(x11)
libX11-devel,pkgconfig(x11-xcb)
libXScrnSaver-devel,pkgconfig(xscrnsaver)
libXTrap-devel,pkgconfig(xtrap)
libXau-devel,pkgconfig(xau)
libXaw-compat,pkgconfig(xaw6)
libXaw-devel,pkgconfig(xaw7)
libXcomposite-devel,pkgconfig(xcomposite)
libXcursor-devel,pkgconfig(xcursor)
libXdamage-devel,pkgconfig(xdamage)
libXdmcp-devel,pkgconfig(xdmcp)
libXevie-devel,pkgconfig(xevie)
libXext-devel,pkgconfig(xext)
libXfixes-devel,pkgconfig(xfixes)
libXfont-devel,pkgconfig(xfont)
libXfontcache-devel,pkgconfig(xfontcache)
libXft-devel,pkgconfig(xft)
libXi-devel,pkgconfig(xi)
libXinerama-devel,pkgconfig(xinerama)
libXmu-devel,pkgconfig(xmu)
libXmu-devel,pkgconfig(xmuu)
libXpm-devel,pkgconfig(xpm)
libXrandr-devel,pkgconfig(xrandr)
libXrender-devel,pkgconfig(xrender)
libXres-devel,pkgconfig(xres)
libXt-devel,pkgconfig(xt)
libXtst-devel,pkgconfig(xtst)
libXv-devel,pkgconfig(xv)
libXvMC-devel,pkgconfig(xvmc)
libXxf86dga-devel,pkgconfig(xxf86dga)
libXxf86misc-devel,pkgconfig(xxf86misc)
libXxf86vm-devel,pkgconfig(xxf86vm)
libabiword-devel,pkgconfig(abiword-2.8)
libaccounts-glib-devel,pkgconfig(libaccounts-glib)
libaccounts-qt-devel,pkgconfig(accounts-qt)
libaccounts-ui-devel,pkgconfig(AccountPlugin)
libao-devel,pkgconfig(ao)
libarchive-devel,pkgconfig(libarchive)
libart_lgpl-devel,pkgconfig(libart-2.0)
libasyncns-devel,pkgconfig(libasyncns)
libatasmart-devel,pkgconfig(libatasmart)
libblkid-devel,pkgconfig(blkid)
libbluez-qt-devel,pkgconfig(bluez-qt)
libbonobo-devel,pkgconfig(bonobo-activation-2.0)
libbonobo-devel,pkgconfig(libbonobo-2.0)
libbonoboui-devel,pkgconfig(libbonoboui-2.0)
libburn-devel,pkgconfig(libburn-1)
libcanberra-devel,pkgconfig(libcanberra)
libcanberra-devel,pkgconfig(libcanberra-gtk)
libcap-ng-devel,pkgconfig(libcap-ng)
libchamplain-devel,pkgconfig(champlain-0.8)
libchamplain-devel,pkgconfig(champlain-gtk-0.8)
libchamplain-gtk-devel,pkgconfig(champlain-gtk-0.8)
libchewing-devel,pkgconfig(chewing)
libcmtspeech-ifx-devel,pkgconfig(libcmtspeech-ifx)
libcom_err-devel,pkgconfig(com_err)
libcommhistory-devel,pkgconfig(commhistory)
libcontentaction-devel,pkgconfig(contentaction-0.1)
libcqpid-devel,pkgconfig(libcqpid)
libcroco-devel,pkgconfig(libcroco-0.6)
libcubi-devel,pkgconfig(cubi-0.1)
libcubi-tracker-ontologies-devel,pkgconfig(cubi-0.1-tracker-0.10-ontologies)
libcurl-devel,pkgconfig(libcurl)
libdaemon-devel,pkgconfig(libdaemon)
libdbus-c++-devel,pkgconfig(dbus-c++-1)
libdbus-qeventloop-devel,pkgconfig(libdbus-qeventloop1)
libdiscid-devel,pkgconfig(libdiscid)
libdmx-devel,pkgconfig(dmx)
libdres-devel,pkgconfig(libdres)
libdrm-devel,pkgconfig(libdrm)
libdrm-devel,pkgconfig(libdrm_intel)
libdrm-devel,pkgconfig(libdrm_radeon)
libdrm-devel,pkgconfig(libkms)
libdsme-devel,pkgconfig(dsme)
libdsme-devel,pkgconfig(dsme_dbus_if)
libdsme-devel,pkgconfig(thermalmanager_dbus_if)
libeap0-devel,pkgconfig(libeap0)
libedit-devel,pkgconfig(libedit)
libeigen2-devel,pkgconfig(eigen2)
libenca-devel,pkgconfig(enca)
libexif-devel,pkgconfig(libexif)
libfakekey-devel,pkgconfig(libfakekey)
libffi-devel,pkgconfig(libffi)
libfontenc-devel,pkgconfig(fontenc)
libfprint-devel,pkgconfig(libfprint)
libgail-gnome-devel,pkgconfig(libgail-gnome)
libgcrypt-devel,pkgconfig(libgcrypt)
libgcrypt-devel,pkgconfig(libgpg-error)
libgda-devel,pkgconfig(libgda-4.0)
libgda-devel,pkgconfig(libgda-bdb-4.0)
libgda-devel,pkgconfig(libgda-report-4.0)
libgda-devel,pkgconfig(libgda-xslt-4.0)
libgda-sqlite-devel,pkgconfig(libgda-sqlite-4.0)
libgdata-devel,pkgconfig(libgdata)
libgdbus-devel,pkgconfig(gdbus)
libgdiplus0-devel,pkgconfig(libgdiplus)
libgdl-devel,pkgconfig(gdl-1.0)
libgee-devel,pkgconfig(gee-1.0)
libggz-devel,pkgconfig(libggz)
libglade2-devel,pkgconfig(libglade-2.0)
libglademm-devel,pkgconfig(libglademm-2.4)
libgnome-devel,pkgconfig(libgnome-2.0)
libgnome-keyring-devel,pkgconfig(gnome-keyring-1)
libgnomecanvas-devel,pkgconfig(libgnomecanvas-2.0)
libgnomecups-devel,pkgconfig(libgnomecups-1.0)
libgnomekbd-devel,pkgconfig(libgnomekbd)
libgnomekbd-devel,pkgconfig(libgnomekbdui)
libgnomeprint22-devel,pkgconfig(libgnomeprint-2.2)
libgnomeprintui22-devel,pkgconfig(libgnomeprintui-2.2)
libgnomeui-devel,pkgconfig(libgnomeui-2.0)
libgphoto2-devel,pkgconfig(libgphoto2)
libgphoto2-devel,pkgconfig(libgphoto2_port)
libgrilo-devel,pkgconfig(grilo-0.2)
libgrilo-devel,pkgconfig(grilo-net-0.2)
libgsf-devel,pkgconfig(libgsf-1)
libgtop2-devel,pkgconfig(libgtop-2.0)
libgudev1-devel,pkgconfig(gudev-1.0)
libgweather-devel,pkgconfig(gweather)
libhangul-devel,pkgconfig(libhangul)
libical-devel,pkgconfig(libical)
libicu-devel,pkgconfig(icu-i18n)
libicu-devel,pkgconfig(icu-io)
libicu-devel,pkgconfig(icu-le)
libicu-devel,pkgconfig(icu-lx)
libicu-devel,pkgconfig(icu-uc)
libid3tag-devel,pkgconfig(id3tag)
libidn-devel,pkgconfig(libidn)
libiphb-devel,pkgconfig(libiphb)
libiptcdata-devel,pkgconfig(libiptcdata)
libisofs-devel,pkgconfig(libisofs-1)
libjingle-devel,pkgconfig(jinglebase-0.3)
libjingle-devel,pkgconfig(jinglep2p-0.3)
libmaliit-devel,pkgconfig(maliit-1.0)
libmaliit-quick-devel,pkgconfig(maliit-plugins-quick-0.80)
libmatchbox-devel,pkgconfig(libmb)
libmdatauri-devel,pkgconfig(mdatauri)
libmediaoverridesqt-devel,pkgconfig(libmediaoverridesqt1)
libmeegochat-devel,pkgconfig(libmeegochat)
libmeegocontrolpanel-devel,pkgconfig(duicontrolpanel)
